hypothesis_id,client_vertical,journey_stage,audience,lever,hypothesis_statement,primary_kpi,guardrail_metric,baseline_rate,expected_lift_pct,mde_pct,sample_size_per_variant,value_pool,confidence_score,effort_points,data_quality_score,measurement_risk,priority_score,backlog_status,recommended_design
HYP-001,B2C retail,Retention,returning prospects,Adobe Target personalization,"If we change Adobe Target personalization for returning prospects, then repeat engagement rate will improve without harming unsubscribe rate.",repeat_engagement_rate,unsubscribe_rate,0.0587,3.1,9.8,26200,271000,66.9,5,90.3,19.8,21.0,Research,A/B test with pre-period covariate adjustment
HYP-002,High-tech,Retention,existing customers,audience qualification,"If we change audience qualification for existing customers, then repeat engagement rate will improve without harming unsubscribe rate.",repeat_engagement_rate,unsubscribe_rate,0.0371,4.7,12.8,24700,151000,71.8,2,88.8,31.2,25.0,Research,A/B test with pre-period covariate adjustment
HYP-003,High-tech,Consideration,existing customers,offer framing,"If we change offer framing for existing customers, then lead start rate will improve without harming cost per lead.",lead_start_rate,cost_per_lead,0.0461,12.4,11.8,23300,165000,66.9,7,99,20.2,29.7,Design review,A/B test with pre-period covariate adjustment
HYP-004,High-tech,Consideration,existing customers,Adobe Target personalization,"If we change Adobe Target personalization for existing customers, then lead start rate will improve without harming cost per lead.",lead_start_rate,cost_per_lead,0.0294,8.9,14.7,24100,179000,83.1,6,92.9,22.9,25.9,Research,A/B test with pre-period covariate adjustment
HYP-005,Healthcare,Retention,existing customers,audience qualification,"If we change audience qualification for existing customers, then repeat engagement rate will improve without harming unsubscribe rate.",repeat_engagement_rate,unsubscribe_rate,0.0328,12.9,12.6,29200,274000,65.3,7,73.1,47.8,29.0,Needs QA,"Instrument first, then A/B test"
HYP-006,Financial services,Retention,new visitors,audience qualification,"If we change audience qualification for new visitors, then repeat engagement rate will improve without harming unsubscribe rate.",repeat_engagement_rate,unsubscribe_rate,0.0269,17.0,20.9,13000,284000,62.3,9,90.4,21.2,32.3,Research,A/B test with pre-period covariate adjustment
HYP-007,Healthcare,Awareness,high intent visitors,Customer Journey Analytics segment,"If we change Customer Journey Analytics segment for high intent visitors, then qualified visit rate will improve without harming bounce rate.",qualified_visit_rate,bounce_rate,0.032,9.0,12.5,30600,147000,64.1,4,98.7,2.3,32.3,Research,A/B test with pre-period covariate adjustment
HYP-008,Higher education,Conversion,lookalike paid audiences,Adobe Target personalization,"If we change Adobe Target personalization for lookalike paid audiences, then application submit rate will improve without harming checkout error rate.",application_submit_rate,checkout_error_rate,0.0483,6.0,13.0,18400,179000,83.8,6,96.1,17.9,23.6,Research,A/B test with pre-period covariate adjustment
HYP-009,Healthcare,Awareness,abandoned journey users,email journey timing,"If we change email journey timing for abandoned journey users, then qualified visit rate will improve without harming bounce rate.",qualified_visit_rate,bounce_rate,0.0306,12.8,16.2,19000,192000,73.3,7,90.2,15.1,29.2,Research,A/B test with pre-period covariate adjustment
HYP-010,Higher education,Retention,returning prospects,audience qualification,"If we change audience qualification for returning prospects, then repeat engagement rate will improve without harming unsubscribe rate.",repeat_engagement_rate,unsubscribe_rate,0.0425,10.7,10.6,31400,175000,94,9,84.7,34.3,25.0,Design review,"Instrument first, then A/B test"
